,RID,start,end,Distance,Time
100,12849,"50.2358419982977, 8.61431121826172","50.831962970535, 12.557373046875",347871,13191
101,12868,"51.297134796688, 7.67813444137573","51.3091549347174, 7.70560026168823",4695,555
102,12871,"53.7302914958358, 10.2718734636437","53.6303445668889, 10.3771054605022",20524,1170
103,12875,"50.48286906613, 11.3883015699685","50.4839601767895, 11.3869282789528",220,47
104,12884,"54.4748256848176, 9.83516693115235","54.4753606894035, 9.84302442813014",552,81
105,12888,"53.7886031540977, 9.91765022277832","53.7130214580623, 10.0208830833435",15860,1322
106,12889,"51.6470615927153, 7.08364963531494","51.7465690054586, 7.20234476029873",17301,1281
107,12903,"51.0534604155777, 13.7416127464717","51.0369031942706, 13.7636375427246",3430,518
108,12920,"50.1126562149545, 8.68537902832031","50.171115474284, 8.70465279556811",7548,949
109,12921,"52.2718760833536, 10.6301030378017","51.8821437810946, 10.5642933334457",54323,2400
110,12924,"47.882479653657, 9.22021067142396","47.87786060616, 9.23378300670265",1646,202
111,12928,"52.4167125601659, 7.84526824951172","52.433148825217, 7.91414737701416",8423,648
112,12929,"52.5122576480254, 13.4569644927979","52.5199748162089, 13.4415149688721",1747,280
113,12936,"48.8338977682474, 8.83812904008664","48.7861086733812, 8.76291274325922",12918,943
114,12949,"51.3569360202642, 6.42412662506104","51.4026326576613, 6.34117126464844",9434,884
115,12963,"51.3387339631079, 12.337646484375","51.2982206738267, 12.4005603790283",9078,1073
116,12966,"53.4876369865385, 7.36101150512695","53.5175528266961, 7.42392539978027",5930,656
117,12975,"51.2958314075372, 11.4381040843728","51.2923662904244, 11.4313825596037",1003,204
118,12976,"50.8096229433606, 8.77232551574707","50.8336976709807, 8.79627227783203",5647,807
119,22073,"52.4406182414539, 13.312157727778","52.4052945676231, 13.1811904907227",12933,1292
120,22074,"51.5134551035873, 7.42205429050955","51.5210394140576, 7.40385818455252",6137,574
121,22094,"52.5580511820231, 13.3314210176468","52.5513216448787, 13.3247978065447",2526,446
122,22095,"49.1086766077842, 11.4494705200195","49.1126855261893, 11.4252259253408",2832,255
123,22101,"53.4797732375086, 7.39225387573242","53.5227630461387, 7.47791290283203",8795,684
124,22105,"48.2412925781332, 12.3646144877421","48.2187325888163, 12.3591213236796",7517,577
125,22108,"48.1372258088035, 11.5755558013916","48.1375417373663, 11.575620174408",-2,-2
126,22112,"50.9584540718232, 11.610747139348","50.7716579797601, 11.5969836771546",28578,2180
127,22124,"50.8903221113102, 6.83499598490016","50.8913469725823, 6.79178237915039",4240,429
128,22129,"51.4731713236944, 6.74142122268677","51.5097735066415, 6.76729917526245",8509,641
129,22134,"50.7900417837371, 12.8992795944214","50.7811307174283, 12.9033601294941",1856,305
130,22137,"53.5916156394609, 9.8521378039004","53.4404707555433, 9.90517043857835",25817,1869
131,22142,"50.9644814282122, 13.9509844779968","50.9667517391111, 14.0916475653648",16145,1241
132,22152,"52.3135424356228, 8.88999938964844","52.3244716040759, 8.70391845703125",17806,1366
133,22156,"49.7652071032762, 10.3721065900833","50.452257251678, 11.6960125749757",187173,7385
134,22159,"52.5676530872834, 13.4119462966919","52.6988708137241, 13.5633087158203",29109,1470
135,22161,"51.6736311117888, 6.64827346277889","51.7178235564466, 6.79457495163661",14294,1100
136,22176,"50.175886417072, 8.62289778527989","50.2378778244447, 8.59731674194336",13245,1164
137,22183,"51.574705595166, 6.250252574564","51.5816395935572, 6.41080603029877",14944,1043
138,22188,"50.7801662954907, 7.12823934853077","50.7809820423044, 7.14780874550343",1366,280
139,22196,"54.1302302458679, 12.0071983337402","54.1014007919856, 11.7857963244023",21117,1400
140,22197,"51.6672475347571, 9.38242792908568","51.6360058245319, 9.33710932557006",6724,575
141,22206,"54.0640018368165, 10.0207328796387","54.0390864662449, 10.0438642501831",5309,577
142,22224,"52.6048927126008, 8.38837802410126","52.5504772178596, 8.21689367294312",19083,1442
143,22227,"50.0848939036687, 8.2287950324826","50.0788516703223, 8.23257158277556",1302,339
144,22231,"51.7027255514501, 9.96264267072547","51.7241625231972, 9.90465545444749",8516,752
145,22232,"48.306350779262, 10.1622481760569","48.3204581805004, 10.0558829056172",8852,695
146,22240,"51.4989761221665, 13.234268190572","51.5008515508491, 13.1217613225454",10943,679
147,22252,"52.0987002802658, 7.58971979321359","52.0602969379717, 7.64864802185912",6925,639
148,22258,"54.3069595916129, 12.923698425293","54.4238863087673, 12.6555633544922",33088,1956
149,22264,"52.3771728324648, 8.95284536993131","52.3818210169023, 8.95282745361328",2826,288
150,22266,"51.2876280843873, 6.85036718845367","51.3195286045698, 6.85722827911377",4975,796
151,22272,"49.8434768607842, 8.35430860519409","49.8606703095201, 8.36312167346478",2452,353
152,22274,"51.3191031534355, 12.4194602976786","51.2932633576966, 12.608287812327",17760,1396
153,22277,"53.5539308697446, 10.0364703681043","53.5350499610353, 12.4859931988375",226864,8430
154,22288,"48.8694781126966, 8.63300514116418","48.8469258219272, 8.54803275957238",14976,980
155,22293,"48.5995723093537, 13.7905883789063","48.5672153091475, 13.784247636795",8834,558
156,22302,"53.5758432987023, 7.77969360351563","53.4983409612688, 7.80784606933594",9412,613
157,22317,"52.7622944530903, 8.26789855957031","52.7149173551177, 8.35853576660156",9554,767
158,22336,"50.7372156282707, 7.07017421722412","50.7110802448151, 7.14557647705078",17476,1355
159,22340,"53.5980673741383, 9.47709846601356","53.6117070747787, 9.44894600019325",3140,435
160,22342,"53.8721042025529, 10.7182788848877","53.7812341373627, 10.6371474266052",13568,1292
161,22368,"51.2578879959668, 6.38331077730982","51.2555815179364, 6.37794598307664",846,137
162,22378,"51.6555721316168, 10.3429412841797","51.6895983101875, 10.3923797607422",9795,1020
163,22379,"52.5294749084056, 12.348804473877","52.5298040817095, 12.5327396392822",17228,991
164,22395,"51.0195359012552, 13.7303942435392","51.0388897725855, 13.7608652125346",5236,745
165,22411,"48.4732616255074, 8.9371107817351","48.5055553676308, 8.98149919536081",5885,722
166,22424,"51.3765906965436, 14.0811038017273","51.3535692459897, 14.205322265625",13504,900
167,22429,"50.4497147751265, 7.91118621826172","49.7497448420969, 9.12551879882813",152269,6010
168,22437,"54.1042221389823, 11.901798248291","54.1464190232655, 11.894416809082",8232,738
169,22460,"50.3361480062779, 7.70905494689941","50.3301213612751, 7.71420478820801",1291,189
170,22463,"48.0779556520244, 11.9684171681001","48.0784344817581, 11.9498920449405",1781,220
171,22470,"50.6233978374942, 12.2871475168176","50.6361650810938, 12.2792321171437",2743,284
172,22483,"50.6015118378621, 10.7072335481644","50.5858260862273, 10.6570386886597",8866,859
173,22491,"51.9702915986192, 7.56925568062798","51.9741412711506, 7.55766248699729",1912,314
174,22522,"48.8096049957597, 11.370849609375","48.8433902231651, 11.2618446350098",12943,966
175,22550,"52.5296706953113, 13.421067756135","52.4126321006274, 13.3519077301025",15751,2433
176,22567,"52.5315231174315, 13.351457118988","52.5638541883587, 13.2661628723145",10499,1529
177,22585,"48.1814252680764, 11.2570381164551","47.5468715989224, 11.1209106445313",100204,4174
178,22595,"47.7887200896298, 12.332067489624","47.8687365181632, 12.3505874094553",13139,1074
179,22600,"51.5210319950818, 6.92602157592774","51.5603414622589, 6.97756558656693",10420,954
180,22628,"52.8707876362682, 9.60711479187012","52.8757609818473, 9.57140922546387",4556,657
181,22631,"49.9105557845988, 7.53662109375","50.0780673377087, 8.3267891407013",82779,3782
182,22652,"53.9942124375691, 11.9031535534941","54.1547929982633, 11.8882469582604",24183,1684
183,22671,"51.4747254353576, 7.43770122528076","51.4907486262964, 7.51018524169922",7989,979
