,RID,start,end,Distance,Time
41,12660,"51.5170241266529, 14.6598529754556","51.517304540344, 14.5833778451197",7722,1460
42,12697,"51.3064983737681, 6.2747726435191","51.343387501527, 6.25556063747354",5312,998
43,12699,"48.820374531608, 10.2075985496049","48.9092319880132, 10.1561369212868",13777,2640
44,12700,"52.1720432970523, 11.6338202124462","52.1803080976091, 11.6406866675243",1628,271
45,12703,"48.1525733936929, 11.8157261610031","48.1336734923661, 11.8095302581787",2929,556
46,12706,"48.298736785137, 10.0496149036917","48.3049530137913, 10.0426197052002",958,159
47,12707,"50.043553395275, 8.97358131303918","50.0464099519638, 8.96551322832238",897,213
48,12734,"52.2374718564639, 7.07502365112305","52.2328461709953, 7.07210540771484",917,161
49,12744,"50.9656841662586, 7.00790405273438","50.9754045926942, 7.01065063476563",1612,313
50,12772,"51.3375158788349, 12.4003833532333","51.3775667632667, 12.2421598434448",15234,2945
51,12780,"48.6773803427341, 10.1532009694711","48.6712834982296, 10.1689442689531",1598,632
52,12793,"48.2995131156916, 10.978169515729","48.3106618596112, 10.9529399871826",3352,673
53,12794,"51.2939454018415, 9.22213934361935","51.7061848639055, 6.80181077099405",218672,41184
54,12816,"49.9176634304148, 10.6804618804017","49.9405268011683, 10.5853443130036",8499,1772
55,12817,"53.849975539758, 11.9913764123339","53.8268213417754, 11.8968736968236",12780,2699
56,12847,"50.5867244062459, 8.70941162109375","50.602634176668, 8.70297431945801",2689,586
57,12865,"52.26835609445, 8.03782939910889","52.3173517198931, 8.01980495452881",7744,1808
58,12868,"51.297134796688, 7.67813444137573","51.3091549347174, 7.70560026168823",4072,1624
59,12883,"48.5293495256148, 9.34394073381555","48.5309192364834, 9.38225555393729",3996,1605
60,12928,"52.4167125601659, 7.84526824951172","52.433148825217, 7.91414737701416",6128,1193
61,12946,"48.1488016037519, 11.5666809061077","48.1820062969089, 11.5765345869623",4904,1051
62,12949,"51.3569360202642, 6.42412662506104","51.4026326576613, 6.34117126464844",10252,1962
63,22083,"48.1874539166958, 11.5770907912702","48.2022757956494, 11.5308012279274",5620,1139
64,22088,"49.1951338704835, 7.85127639770508","49.1875087449574, 7.83482037484646",1893,984
65,22091,"47.9310663475098, 11.689453125","48.1925774852232, 11.6720835585147",37180,6746
66,22111,"53.5480969147645, 10.08544921875","53.5022503984491, 10.070686340332",7012,1370
67,22113,"50.7793628303266, 7.14162826538086","50.7703427216008, 7.12120056152344",1951,319
68,22150,"50.2513898291903, 8.64538192749024","50.2549844573267, 8.63937377929688",1122,221
69,22156,"49.7652071032762, 10.3721065900833","50.452257251678, 11.6960125749757",154435,31331
70,22170,"49.5103095811964, 12.7133788727224","47.7850085043327, 11.0991820693016",-1,-1
71,22171,"53.5888387546371, 9.25498979429904","53.5769037967516, 9.3348721091752",6041,1120
72,22175,"51.4582952952924, 7.04798698425293","51.4567933815177, 7.04120635986328",1955,365
73,22183,"51.574705595166, 6.250252574564","51.5816395935572, 6.41080603029877",14268,2817
74,22221,"50.1273768687035, 9.24195825429706","50.1321263775368, 9.24117565155029",628,185
75,22252,"52.0987002802658, 7.58971979321359","52.0602969379717, 7.64864802185912",7051,1378
76,22257,"48.1498542768525, 11.5769076347351","48.0752976374821, 11.57958984375",11403,2403
77,22266,"51.2876280843873, 6.85036718845367","51.3195286045698, 6.85722827911377",4673,1101
78,22267,"54.0989845888811, 13.3725929260254","54.133581233511, 13.4307861328125",7195,1282
79,22272,"49.8434768607842, 8.35430860519409","49.8606703095201, 8.36312167346478",2991,560
80,22274,"51.3191031534355, 12.4194602976786","51.2932633576966, 12.608287812327",15369,2878
81,22294,"51.3595756662405, 6.94456100463867","51.3765170302859, 6.9078254699707",3502,671
82,22308,"51.5990795905796, 9.85851287841797","51.5779443136139, 10.0226211547852",18640,4315
83,22315,"54.3023021413704, 12.8643421456218","54.3071098231699, 12.8508107364178",2105,355
84,22317,"52.7622944530903, 8.26789855957031","52.7149173551177, 8.35853576660156",9992,1887
85,22332,"48.1398757895693, 11.6722440719605","48.1264868854059, 11.7000961303711",3793,747
86,22334,"50.8751107495973, 7.01252174272668","50.8769697637721, 7.01200675859582",282,49
87,22342,"53.8721042025529, 10.7182788848877","53.7812341373627, 10.6371474266052",14962,2695
88,22365,"49.4591925325423, 8.429936170578","49.4454590946007, 8.43586921691895",2580,599
89,22397,"50.6924498021703, 10.9091479404015","50.6895631993465, 10.9119790167642",521,112
90,22417,"50.6053778884802, 8.77532958984375","50.6096120745971, 8.76794815063477",907,203
