,RID,start,end,Distance,Time
902,64610,"49.8817566179504, 7.89934158325195","49.9070751571897, 7.87342071533203",4488,4036
903,64615,"51.2827887962737, 7.78896331787109","51.2789054057496, 7.80956268310547",1875,1695
904,64616,"50.7295150837998, 9.00003433227539","50.7675233688158, 9.00432586669922",4929,4210
905,64621,"51.1062727214206, 14.9398899060907","51.1027174487229, 14.9358415594907",726,631
906,64622,"47.5922649191317, 7.60494232177734","47.6117066015025, 7.63429641723633",4107,3883
907,64628,"49.3772412033613, 6.68397903442383","49.3706577094002, 6.6817045211792",1177,991
908,64633,"51.5891645431384, 7.55408763885498","51.5662084559674, 7.58417129516602",3786,3138
909,64634,"52.5693730323474, 13.494815826416","52.571780842117, 13.4908676147461",567,460
910,64635,"53.6740529908952, 10.2392234781291","53.6867714511592, 10.2300267216924",1781,1416
911,64638,"49.5983717425731, 8.47895622253418","49.5989470497725, 8.44415187835694",3165,2592
912,64639,"52.8163639455246, 7.81162261962891","52.8099895050301, 7.81660079956055",794,623
913,64641,"51.9180922783195, 7.48752593994141","51.8913464429735, 7.3084831237793",16869,13670
914,64644,"49.388211528679, 11.3536834716797","49.3879670976686, 11.3399505615234",1426,1167
915,64646,"48.0932229531197, 11.5127277374268","48.1021510270007, 11.4923000335693",2904,2384
916,64647,"51.0064490312393, 11.0992813110352","51.0174865542563, 11.0845613479614",1802,1511
917,64654,"50.1509106025775, 8.80280399374897","50.1531681980154, 8.78307151899207",1622,1318
918,64655,"49.456216445409, 11.0767328736983","49.4507708596113, 11.0981726642058",1909,1627
919,64659,"48.1515722777962, 11.5794825553894","48.1556050944426, 11.5801692008972",659,547
920,64660,"51.2977144122706, 13.1074447673745","51.3008538633577, 13.0552597087808",4469,3772
921,64661,"50.984766026668, 10.3210593193035","50.9847489136739, 10.3210083998965",3,2
922,64670,"48.8659785712081, 10.1145029067993","48.8639732117647, 10.1191806793213",728,941
923,64671,"48.8976781691222, 8.70434761047363","48.9039974358173, 8.59723091125488",9243,7870
924,64676,"50.7321115004715, 7.08588123321533","50.731711053598, 7.08827912807465",264,215
925,64680,"47.8216988912419, 12.3900353908539","47.8312934254771, 12.3829329013824",1373,1126
926,64686,"49.4755616125556, 8.48344516911311","49.4829290297025, 8.49510097556049",1751,1509
927,64690,"48.2979438215823, 11.6189174662577","48.2963350182361, 11.6662960062968",4946,4004
928,64692,"52.2994515327319, 8.5997200012207","52.2939923988354, 8.60212326049805",977,875
929,64694,"51.0755279076063, 10.337963104248","51.0906286079787, 10.3913497924805",5033,5203
930,64699,"49.0265217827084, 8.3930683118524","49.0319665754882, 8.40611457650084",1704,1397
931,64703,"51.0478667623361, 13.6772317849682","51.0507217947181, 13.6747255330556",988,843
932,64705,"50.7382069644083, 7.12566375732422","50.7623269684571, 7.10369110107422",4012,3405
933,64706,"50.9573850939436, 14.7154998779297","50.9582320960781, 14.7148132324219",220,172
934,64711,"51.089952984738, 10.4150390625","50.0814425448788, 8.69375805042555",189183,156011
935,64712,"52.637672801326, 13.2138061523438","52.6130972835349, 13.2134628295898",3627,2968
936,64718,"50.9953643566503, 11.0467529296875","50.9673167657629, 11.0065841674805",6659,5697
937,64723,"52.601200213747, 13.3580875396729","52.6025229939997, 13.3563709259033",401,324
938,64726,"54.0825480965496, 13.4024387595855","54.0688809598157, 13.4629726514686",5378,4411
939,64727,"51.4365456992411, 7.00138092041016","51.4307912965426, 6.99605941772461",1189,1005
940,64729,"52.0209835028445, 8.53046643740527","52.0242333371916, 8.50104904384352",2287,2155
941,64730,"52.8975506373885, 10.1570320129395","52.8928110830838, 10.1457023620605",1697,1374
942,64737,"50.1501639186677, 7.7158230544228","50.134605222942, 7.72839725028462",2907,2945
943,64738,"52.5514105461816, 13.4999080002308","52.5293811379808, 13.5076904296875",3671,3023
944,64740,"48.11855906576, 11.6597127914429","48.0249424474016, 11.7749404907227",15165,12425
945,64741,"49.0778169402225, 9.15365517139435","48.7855495134716, 9.1869467496872",36591,30754
946,64743,"48.0153823298507, 7.82442212104797","48.0257154831153, 7.81771659851074",1667,1340
947,64747,"51.4973238564254, 10.7799148536287","51.5034268045843, 10.7875442295335",1180,976
948,64750,"50.7764981142464, 7.28702545166016","50.7880572154736, 7.29809761047363",2758,2537
949,64751,"50.5209715405962, 8.20146560668945","50.5192150107167, 8.20524215698242",1452,1226
950,64763,"52.3784171239689, 13.1246495246887","52.3622045099477, 13.1815338134766",5504,4485
951,64774,"48.1262396950341, 9.79418694740161","48.1271873787128, 9.78543221717701",1111,971
952,64781,"50.8974212518431, 14.8106002807617","50.8222368425746, 14.7264575923327",11676,11205
953,64784,"48.1218221891112, 8.00405502319336","48.1258174866799, 8.02010536193848",1861,2298
954,64789,"51.0183484201525, 13.7194801589067","51.0217060013618, 13.7211942672729",482,407
955,64800,"50.9411785415785, 6.93435251712799","50.8043002492517, 6.83383941650391",18640,15449
956,64801,"50.3021002150469, 12.3383331298828","50.2992602723198, 12.3472595214844",752,690
957,64803,"52.5289521380444, 13.4051968834319","52.5266114053119, 13.4093928337097",581,475
958,64812,"47.6460465883661, 10.1304244995117","47.6410589542312, 10.1372694969177",1348,1092
959,64813,"49.4495331605415, 10.9534549713135","50.9795859248352, 11.0398864746094",194854,160866
960,64814,"53.6849153092317, 9.1710090637207","53.6714937582573, 9.14972305297852",3420,2733
961,64818,"50.9875451453441, 7.84799766435754","50.9928933078734, 7.84917139993922",791,842
962,64824,"47.7282540788176, 9.23744201660156","47.7407122674937, 9.2259407043457",2076,1673
963,64834,"49.9919711230251, 8.41659164638259","49.9974942609071, 8.41292411485483",1102,952
964,64842,"52.3062886288015, 9.61070012496018","52.3013935623151, 9.59891796112061",1086,962
965,64845,"48.2740877997177, 12.1522865316365","48.267430024526, 12.1495141988271",1007,836
966,64848,"52.254785868703, 13.9262008666992","52.2346264178115, 13.9007949829102",2490,2024
967,64851,"48.3015009953701, 11.3579063373618","48.3119855067528, 11.3661460834555",2402,1992
968,64859,"51.3355550907462, 12.3982429504395","51.3352288806614, 12.4336051940918",2603,2158
969,64862,"49.3268072004414, 11.0625457763672","49.3348046030769, 11.0676527023315",1300,1023
970,64864,"48.6909816378848, 8.95462989807129","48.6097126541905, 8.9425277709961",10617,9046
971,64869,"52.6382978365708, 9.20894622802735","52.6476202188557, 9.22130584716797",1633,1337
