,RID,start,end,Distance,Time
0,12035,"48.8904569352509, 9.22315120697022","48.9105530068381, 9.25297737121582",3657,2802
1,12043,"48.7327561114668, 9.10607814788819","48.7444572947075, 9.08994197845459",2264,1807
2,12045,"53.5994069659689, 9.98409926891327","53.5785442341526, 10.0014638900757",3021,2455
3,12053,"51.6510610175329, 6.4417280467751","51.6709082081288, 6.45464557521336",2886,2340
4,12056,"51.1343779688974, 11.7174339294434","51.1384491488171, 11.7177772521973",574,485
5,12063,"48.0099185426157, 7.81282424926758","48.0107827200642, 7.81780242919922",779,631
6,12073,"48.1386845708913, 11.5779359266162","48.1389855629293, 11.577787399292",95,80
7,12075,"50.7310498612209, 8.99986267089844","50.7560626982266, 9.00715827941895",3343,2891
8,12088,"53.5589183510203, 13.2664731834666","53.5122607753323, 13.2046750877635",7679,6203
9,12090,"51.21891268727, 10.4601781858946","51.2206385582575, 10.4608648314024",198,169
