"RID","start","end"
12031,"49.3580046172367, 8.69285855937051","49.3173373442815, 8.66107145673596"
12053,"51.6510610175329, 6.4417280467751","51.6709082081288, 6.45464557521336"
12073,"48.1386845708913, 11.5779359266162","48.1389855629293, 11.577787399292"
12084,"47.7311261067313, 9.34281895162712","47.6939055871472, 9.25976411439478"
12089,"48.1365044636946, 11.5741615281149","48.2094201056943, 11.6402797680348"
12102,"51.4223887014311, 10.1220989227295","51.4200751831667, 10.1334111392498"
12106,"51.13926525602, 14.9688720703125","51.0874586224442, 14.9724769592285"
12108,"51.4680712357454, 6.92563247750513","51.4514518268011, 6.9524867535074"
12114,"51.4123457011356, 11.8445620983402","51.2984640290547, 11.9100211343175"
12143,"49.6279371495537, 11.0147516237112","49.6446416216586, 10.933339594194"
12153,"51.3579032381648, 12.429313659668","51.3945180961373, 12.4796104431152"
12159,"50.391925725663, 8.21348190307617","50.2257064204046, 8.62787246704102"
12170,"50.6080055620688, 10.6935219518209","50.4977041322984, 10.6931594293928"
12173,"50.8602657644543, 12.953052520752","50.8833312147667, 12.9552841186523"
12174,"50.8065711492442, 12.908935546875","50.7727385296701, 12.9925346374512"
12190,"51.3416083293461, 12.410521030688","51.3465545059045, 12.4108214380976"
12194,"49.5121815164903, 6.75746363660437","49.553732473644, 6.76036834716797"
12195,"51.9766331435729, 8.51715087890625","51.9717688185901, 8.52230072021485"
12213,"51.117395877219, 13.1241989135742","51.1599903006531, 13.018970489502"
12215,"52.564873317831, 13.5139560699463","52.7271441268336, 13.4369659423828"
12216,"48.0859258592178, 10.2857791031329","48.0857266205891, 10.2576892000343"
12228,"48.1585492778238, 10.8324337005615","48.2715513340462, 10.6204319000244"
12230,"54.1120270173413, 13.0493867397308","54.0803868496016, 13.2448768615723"
12248,"51.973100767141, 7.56978443416301","51.9446793220709, 7.5953088485403"
12254,"48.1861832861868, 11.4291776927712","48.1152482579431, 11.3981764629716"
12262,"52.1575190544785, 11.6171836853027","52.2302598232712, 11.6998171806335"
12266,"52.5129895375473, 13.3782314165728","53.3878658767626, 13.1067940701563"
12286,"53.696731883733, 9.71431732177735","53.6916657747367, 9.79568481445313"
12297,"52.4634354198168, 13.3427249193846","52.4683229912784, 13.240199086431"
12309,"52.5498851678457, 6.8086051940918","52.517190693291, 6.8415641784668"
12315,"49.9393188836992, 7.9266357421875","49.986662503047, 8.2921028137207"
12317,"48.1590006376721, 12.8323745727539","48.1706792693428, 12.8313446044922"
12320,"48.7515103822366, 9.50283989310265","48.6813401063016, 9.01325225830078"
12334,"51.5125538600042, 7.51706028037006","51.4917942898737, 7.50461483054096"
12346,"53.5907431477973, 10.020434422848","53.5539543797153, 9.93786822975381"
12359,"51.0996530599512, 6.94389240363307","51.1018083431664, 6.91783589802071"
12363,"48.352406342085, 9.97596544584667","47.5561039688015, 9.6519739413634"
12371,"48.27286147639, 12.1524238586426","48.271242835165, 12.1074485778809"
