"RID","on_foot","bike","car","distance_walk","time_walk","distance_bike","time_bike","distance_car","time_car","mean_dist","mean_time"
22800,0,0,0,NA,NA,NA,NA,573,106,573,106
22809,1,0,0,2496,2488,NA,NA,NA,NA,2496,2488
22821,1,0,0,1283,1385,NA,NA,NA,NA,1283,1385
22827,1,0,0,812,655,NA,NA,NA,NA,812,655
22835,1,0,0,15475,13041,NA,NA,NA,NA,15475,13041
22840,1,0,0,2098,2230,NA,NA,NA,NA,2098,2230
22841,1,0,0,832,678,NA,NA,NA,NA,832,678
22845,0,0,1,NA,NA,NA,NA,8850,900,8850,900
22851,0,1,0,NA,NA,11518,2542,NA,NA,11518,2542
22855,0,0,1,NA,NA,NA,NA,106395,4507,106395,4507
22856,1,0,0,455,372,NA,NA,NA,NA,455,372
22862,0,0,1,NA,NA,NA,NA,250332,10048,250332,10048
22864,1,1,0,4380,3491,4380,756,NA,NA,4380,2123.5
22869,0,0,1,NA,NA,NA,NA,1151,159,1151,159
22871,1,0,0,468,396,NA,NA,NA,NA,468,396
22873,0,1,1,NA,NA,20232,3987,20674,1598,20453,2792.5
22874,0,0,1,NA,NA,NA,NA,21410,1641,21410,1641
22879,1,0,1,987,786,NA,NA,6721,726,3854,756
22880,0,0,1,NA,NA,NA,NA,5549,577,5549,577
22882,1,1,0,546,452,546,152,NA,NA,546,302
22884,1,0,1,19204,16618,NA,NA,22237,1436,20720.5,9027
22893,1,0,1,30554,25507,NA,NA,41122,2858,35838,14182.5
22896,1,0,0,1760,1428,NA,NA,NA,NA,1760,1428
22897,1,1,1,4053,3484,4691,1034,5857,915,4867,1811
22899,1,0,0,3914,3556,NA,NA,NA,NA,3914,3556
22907,1,0,0,770,616,NA,NA,NA,NA,770,616
22912,0,0,0,NA,NA,NA,NA,2710,401,2710,401
22915,1,1,0,1727,1389,1843,352,NA,NA,1785,870.5
22917,1,0,0,2929,2529,NA,NA,NA,NA,2929,2529
22920,0,0,1,NA,NA,NA,NA,526672,20521,526672,20521
22932,0,0,0,NA,NA,NA,NA,1735,316,1735,316
22936,1,0,0,706,576,NA,NA,NA,NA,706,576
22942,1,0,0,8863,7518,NA,NA,NA,NA,8863,7518
22944,0,0,1,NA,NA,NA,NA,17040,1022,17040,1022
22951,1,0,0,1391,1126,NA,NA,NA,NA,1391,1126
22952,1,0,0,881,719,NA,NA,NA,NA,881,719
22954,0,1,1,NA,NA,22323,4136,21387,1244,21855,2690
22958,1,0,0,10166,8195,NA,NA,NA,NA,10166,8195
22969,1,0,0,495,462,NA,NA,NA,NA,495,462
22977,0,1,0,NA,NA,946,188,NA,NA,946,188
22978,1,0,0,667010,545549,NA,NA,NA,NA,667010,545549
22983,0,0,1,NA,NA,NA,NA,1579,241,1579,241
22986,1,1,0,870,718,870,179,NA,NA,870,448.5
23004,0,1,0,NA,NA,4518,868,NA,NA,4518,868
23006,1,0,0,2148,1770,NA,NA,NA,NA,2148,1770
23011,1,0,0,76,62,NA,NA,NA,NA,76,62
23012,1,0,0,651,544,NA,NA,NA,NA,651,544
23025,0,0,1,NA,NA,NA,NA,648874,24214,648874,24214
23031,1,1,0,4868,3946,4929,961,NA,NA,4898.5,2453.5
23032,1,0,0,3597,2958,NA,NA,NA,NA,3597,2958
23040,1,1,1,3072,2556,3366,663,6344,724,4260.66666666667,1314.33333333333
23043,0,0,0,NA,NA,NA,NA,34239,2452,34239,2452
23047,1,0,0,1767,1720,NA,NA,NA,NA,1767,1720
23055,1,0,0,807,630,NA,NA,NA,NA,807,630
23061,1,1,1,2121,1707,2137,371,2137,201,2131.66666666667,759.666666666667
23062,0,0,1,NA,NA,NA,NA,12990,1104,12990,1104
23065,1,1,1,3537,3009,3677,897,3677,302,3630.33333333333,1402.66666666667
23068,1,1,1,58280,49133,68209,14773,76126,3486,67538.3333333333,22464
23073,1,0,1,199904,163320,NA,NA,224054,9261,211979,86290.5
23074,1,0,0,2410,1960,NA,NA,NA,NA,2410,1960
23084,0,0,1,NA,NA,NA,NA,25282,2023,25282,2023
23085,1,0,0,5161,4238,NA,NA,NA,NA,5161,4238
23092,1,1,0,2605,2146,2824,638,NA,NA,2714.5,1392
23096,1,0,1,1365,1067,NA,NA,5509,514,3437,790.5
23103,1,0,0,3937,3247,NA,NA,NA,NA,3937,3247
23104,0,0,1,NA,NA,NA,NA,29297,2378,29297,2378
23113,0,0,0,NA,NA,NA,NA,4250,759,4250,759
23115,0,0,1,NA,NA,NA,NA,18135,1541,18135,1541
23124,1,0,0,790,774,NA,NA,NA,NA,790,774
23129,0,0,1,NA,NA,NA,NA,8080,996,8080,996
23131,1,0,0,3819,3445,NA,NA,NA,NA,3819,3445
23135,1,1,1,1349,1087,1350,265,1069,165,1256,505.666666666667
23141,0,1,0,NA,NA,1990,430,NA,NA,1990,430
23142,1,0,0,1630,1323,NA,NA,NA,NA,1630,1323
23143,1,1,0,8956,7351,9334,1863,NA,NA,9145,4607
23149,0,0,1,NA,NA,NA,NA,4183,416,4183,416
23153,1,1,1,2270,1956,2309,646,2306,321,2295,974.333333333333
23159,1,0,0,878,705,NA,NA,NA,NA,878,705
23164,1,0,0,33205,26989,NA,NA,NA,NA,33205,26989
23168,1,0,0,7615,6251,NA,NA,NA,NA,7615,6251
23171,1,0,1,2388,1996,NA,NA,2618,358,2503,1177
23179,0,0,1,NA,NA,NA,NA,29679,1670,29679,1670
23183,0,0,1,NA,NA,NA,NA,271719,10995,271719,10995
23200,1,1,0,2909,2694,3168,1042,NA,NA,3038.5,1868
23211,1,0,0,1677,1397,NA,NA,NA,NA,1677,1397
23253,0,0,1,NA,NA,NA,NA,1231,244,1231,244
23263,1,1,0,1879,1502,2445,383,NA,NA,2162,942.5
23265,0,0,1,NA,NA,NA,NA,20799,1253,20799,1253
23271,1,0,0,1552,1316,NA,NA,NA,NA,1552,1316
23280,0,1,1,NA,NA,23894,4524,23256,1387,23575,2955.5
23291,1,1,0,5057,5100,5140,2134,NA,NA,5098.5,3617
23293,1,0,0,644,519,NA,NA,NA,NA,644,519
32079,0,0,1,NA,NA,NA,NA,9264,741,9264,741
32082,1,0,0,337,276,NA,NA,NA,NA,337,276
32084,1,0,0,1276,1060,NA,NA,NA,NA,1276,1060
32091,1,0,0,7545,7020,NA,NA,NA,NA,7545,7020
32095,1,0,0,3919,3293,NA,NA,NA,NA,3919,3293
32100,1,0,0,1611,1562,NA,NA,NA,NA,1611,1562
32110,1,0,0,2771,2549,NA,NA,NA,NA,2771,2549
32114,1,0,1,3084,2500,NA,NA,2432,292,2758,1396
32115,0,0,1,NA,NA,NA,NA,35699,2114,35699,2114
32127,0,0,1,NA,NA,NA,NA,16165,1322,16165,1322
32128,1,0,0,390,426,NA,NA,NA,NA,390,426
32132,1,0,0,1076,979,NA,NA,NA,NA,1076,979
32133,1,0,0,250,197,NA,NA,NA,NA,250,197
32135,1,0,1,272,228,NA,NA,310,68,291,148
32136,1,0,0,490,380,NA,NA,NA,NA,490,380
32137,0,1,1,NA,NA,110979,22058,110204,5251,110591.5,13654.5
32143,0,0,1,NA,NA,NA,NA,6462,421,6462,421
32147,1,1,1,3972,3356,4498,881,4363,656,4277.66666666667,1631
32150,0,0,1,NA,NA,NA,NA,57614,3666,57614,3666
32152,0,1,0,NA,NA,6816,1642,NA,NA,6816,1642
32153,1,0,0,14,11,NA,NA,NA,NA,14,11
32156,1,1,0,1382,1121,1382,271,NA,NA,1382,696
32157,0,0,1,NA,NA,NA,NA,39472,1940,39472,1940
32159,1,0,0,3461,3225,NA,NA,NA,NA,3461,3225
32162,1,0,0,1323,1066,NA,NA,NA,NA,1323,1066
32167,1,0,1,24639,22007,NA,NA,32481,2075,28560,12041
32169,1,0,0,241,192,NA,NA,NA,NA,241,192
32172,1,0,0,6152,5082,NA,NA,NA,NA,6152,5082
32173,1,0,0,3839,3139,NA,NA,NA,NA,3839,3139
32175,1,0,0,1405,1137,NA,NA,NA,NA,1405,1137
32179,1,1,0,304701,247162,329000,61092,NA,NA,316850.5,154127
32181,1,0,0,1034,875,NA,NA,NA,NA,1034,875
32186,0,0,0,NA,NA,NA,NA,15129,1107,15129,1107
32190,0,0,1,NA,NA,NA,NA,10,2,10,2
32195,0,0,1,NA,NA,NA,NA,2038,310,2038,310
32196,0,0,1,NA,NA,NA,NA,32839,2139,32839,2139
32199,1,0,1,6210,5333,NA,NA,11774,1629,8992,3481
32200,0,0,1,NA,NA,NA,NA,2968,222,2968,222
32203,0,1,0,NA,NA,6400,1162,NA,NA,6400,1162
32204,1,0,0,1771,1726,NA,NA,NA,NA,1771,1726
32209,0,0,1,NA,NA,NA,NA,77449,4079,77449,4079
32211,1,0,0,883,693,NA,NA,NA,NA,883,693
32213,1,1,1,176904,144045,197016,36286,210884,8494,194934.666666667,62941.6666666667
32216,0,1,0,NA,NA,4843,946,NA,NA,4843,946
32219,1,1,1,2300,2046,2360,727,2585,454,2415,1075.66666666667
32221,1,0,0,1209,974,NA,NA,NA,NA,1209,974
32223,1,1,0,1135,928,1135,203,NA,NA,1135,565.5
32228,1,0,0,1933,2068,NA,NA,NA,NA,1933,2068
32230,0,0,1,NA,NA,NA,NA,572,104,572,104
32232,0,0,1,NA,NA,NA,NA,94007,5252,94007,5252
32233,0,1,1,NA,NA,11225,2402,14017,1243,12621,1822.5
32240,0,1,1,NA,NA,2267,441,1904,238,2085.5,339.5
32243,0,0,0,NA,NA,NA,NA,20972,1297,20972,1297
32247,1,0,0,1386,1111,NA,NA,NA,NA,1386,1111
32248,1,0,0,3440,2783,NA,NA,NA,NA,3440,2783
32256,0,0,1,NA,NA,NA,NA,4792,633,4792,633
32260,0,1,0,NA,NA,2908,516,NA,NA,2908,516
32261,1,0,0,2106,1704,NA,NA,NA,NA,2106,1704
32262,0,0,1,NA,NA,NA,NA,43725,3270,43725,3270
32264,0,0,1,NA,NA,NA,NA,10099,810,10099,810
32266,0,1,0,NA,NA,4500,901,NA,NA,4500,901
32269,1,1,0,2110,1734,2222,463,NA,NA,2166,1098.5
32270,1,0,0,396,316,NA,NA,NA,NA,396,316
32272,1,1,1,3308,2700,2940,618,8962,836,5070,1384.66666666667
32276,1,1,0,1214,990,1215,214,NA,NA,1214.5,602
32279,0,1,1,NA,NA,9573,1842,11936,656,10754.5,1249
32286,0,1,0,NA,NA,5747,1295,NA,NA,5747,1295
32289,1,0,0,2131,1661,NA,NA,NA,NA,2131,1661
32290,1,0,0,755,623,NA,NA,NA,NA,755,623
32295,0,0,0,NA,NA,NA,NA,2509,387,2509,387
32296,0,0,1,NA,NA,NA,NA,30947,2099,30947,2099
32300,0,0,1,NA,NA,NA,NA,12933,1116,12933,1116
32308,1,1,1,3685,3010,4260,835,4365,460,4103.33333333333,1435
32310,0,0,1,NA,NA,NA,NA,1425,257,1425,257
32312,1,1,1,8734,7133,9191,1757,11459,902,9794.66666666667,3264
32315,1,0,1,394,325,NA,NA,521,130,457.5,227.5
32321,1,0,0,1556,1284,NA,NA,NA,NA,1556,1284
32324,0,1,0,NA,NA,1438,324,NA,NA,1438,324
32329,1,0,1,21802,19261,NA,NA,29318,2007,25560,10634
32332,1,1,0,1039,853,1117,221,NA,NA,1078,537
32333,1,0,0,1166,933,NA,NA,NA,NA,1166,933
32337,1,1,1,3106,2862,3291,1080,5138,438,3845,1460
32339,1,0,0,1940,1616,NA,NA,NA,NA,1940,1616
32344,0,0,1,NA,NA,NA,NA,1119,243,1119,243
32346,1,0,0,88938,72322,NA,NA,NA,NA,88938,72322
32348,0,0,1,NA,NA,NA,NA,8446,937,8446,937
32350,1,1,1,1173,1046,1173,308,605,131,983.666666666667,495
32364,1,0,0,245,236,NA,NA,NA,NA,245,236
32365,1,0,0,2793,2264,NA,NA,NA,NA,2793,2264
32368,0,1,0,NA,NA,6234,1206,NA,NA,6234,1206
32373,1,1,0,7118,5670,7118,1242,NA,NA,7118,3456
32374,1,0,0,1212,997,NA,NA,NA,NA,1212,997
32378,1,0,0,3154,2642,NA,NA,NA,NA,3154,2642
32383,0,0,1,NA,NA,NA,NA,1838,310,1838,310
32385,1,1,0,3807,3125,3812,769,NA,NA,3809.5,1947
32387,1,1,0,645,521,645,110,NA,NA,645,315.5
32390,0,0,1,NA,NA,NA,NA,9307,1232,9307,1232
32393,0,0,1,NA,NA,NA,NA,2605,406,2605,406
32398,1,0,0,1110,994,NA,NA,NA,NA,1110,994
32400,1,0,0,2501,2094,NA,NA,NA,NA,2501,2094
32404,1,0,0,3537,2990,NA,NA,NA,NA,3537,2990
32409,0,0,1,NA,NA,NA,NA,14950,882,14950,882
32413,0,1,0,NA,NA,20580,3717,NA,NA,20580,3717
32420,0,0,1,NA,NA,NA,NA,32952,2484,32952,2484
32423,1,0,0,1413,1156,NA,NA,NA,NA,1413,1156
32428,1,0,0,981,805,NA,NA,NA,NA,981,805
32430,1,1,0,4017,3239,4040,761,NA,NA,4028.5,2000
32433,0,0,1,NA,NA,NA,NA,1891,307,1891,307
32435,1,1,0,1076,893,1076,255,NA,NA,1076,574
32438,1,0,0,455,358,NA,NA,NA,NA,455,358
32441,0,1,1,NA,NA,15037,2544,14712,1093,14874.5,1818.5
32443,0,0,0,NA,NA,NA,NA,14297,975,14297,975
32444,0,0,1,NA,NA,NA,NA,12371,1064,12371,1064
32448,1,1,0,1659,1343,2098,440,NA,NA,1878.5,891.5
32452,0,0,0,NA,NA,NA,NA,8689,827,8689,827
32455,0,1,1,NA,NA,4381,901,4286,313,4333.5,607
32456,1,0,0,2559,2064,NA,NA,NA,NA,2559,2064
32460,1,0,0,883,731,NA,NA,NA,NA,883,731
32461,1,0,0,353,283,NA,NA,NA,NA,353,283
32462,1,0,0,1334,1276,NA,NA,NA,NA,1334,1276
32468,0,1,0,NA,NA,25506,4654,NA,NA,25506,4654
32470,0,0,1,NA,NA,NA,NA,2966,351,2966,351
32485,1,0,0,1306,1046,NA,NA,NA,NA,1306,1046
32488,1,0,0,1152,969,NA,NA,NA,NA,1152,969
32497,0,0,1,NA,NA,NA,NA,23007,1402,23007,1402
32500,1,1,0,1806,1585,1823,527,NA,NA,1814.5,1056
32504,1,0,0,2063,1682,NA,NA,NA,NA,2063,1682
32506,1,0,0,419,338,NA,NA,NA,NA,419,338
32513,1,1,1,1718,1451,2174,474,1756,349,1882.66666666667,758
32521,1,1,0,17754,14461,20485,3934,NA,NA,19119.5,9197.5
32527,1,0,0,457,385,NA,NA,NA,NA,457,385
32533,1,1,0,3473,3400,3473,1543,NA,NA,3473,2471.5
32538,0,0,1,NA,NA,NA,NA,9205,675,9205,675
32541,1,0,1,615,492,NA,NA,1787,156,1201,324
32542,1,0,0,1700,1353,NA,NA,NA,NA,1700,1353
32546,1,0,0,2397,2013,NA,NA,NA,NA,2397,2013
32548,1,0,0,483,389,NA,NA,NA,NA,483,389
32551,1,1,0,27582,22239,29126,5315,NA,NA,28354,13777
32556,1,0,0,566,579,NA,NA,NA,NA,566,579
32575,1,0,0,6528,5298,NA,NA,NA,NA,6528,5298
32582,0,0,1,NA,NA,NA,NA,135065,6408,135065,6408
32585,0,1,1,NA,NA,933,145,5553,987,3243,566
32592,1,1,0,1004,811,1080,187,NA,NA,1042,499
32596,0,0,1,NA,NA,NA,NA,15741,1703,15741,1703
32601,0,1,0,NA,NA,1166,185,NA,NA,1166,185
32603,1,0,0,875,718,NA,NA,NA,NA,875,718
32605,1,0,0,9725,7991,NA,NA,NA,NA,9725,7991
32607,0,0,1,NA,NA,NA,NA,7978,740,7978,740
32616,0,0,1,NA,NA,NA,NA,6959,991,6959,991
32620,1,0,0,440,382,NA,NA,NA,NA,440,382
32622,1,1,0,9348,7645,10316,1921,NA,NA,9832,4783
32627,1,0,0,11370,9277,NA,NA,NA,NA,11370,9277
32631,0,0,1,NA,NA,NA,NA,1822,203,1822,203
32635,0,0,1,NA,NA,NA,NA,975,177,975,177
32636,0,0,1,NA,NA,NA,NA,8608,846,8608,846
32644,1,0,1,3637,2868,NA,NA,3494,461,3565.5,1664.5
32646,0,0,0,NA,NA,NA,NA,764,140,764,140
32647,1,0,1,3186,2915,NA,NA,3772,284,3479,1599.5
32648,0,0,1,NA,NA,NA,NA,1648,358,1648,358
32650,1,0,0,3157,2584,NA,NA,NA,NA,3157,2584
32652,1,0,0,798,691,NA,NA,NA,NA,798,691
32656,1,0,0,2301,1968,NA,NA,NA,NA,2301,1968
32658,1,1,0,1432,1176,1646,347,NA,NA,1539,761.5
32659,1,0,0,3651,3042,NA,NA,NA,NA,3651,3042
32665,0,0,0,NA,NA,NA,NA,1919,343,1919,343
32667,1,1,1,10491,8831,11809,2437,14924,1399,12408,4222.33333333333
32669,1,0,0,1084,867,NA,NA,NA,NA,1084,867
32690,1,0,0,1266,1025,NA,NA,NA,NA,1266,1025
32696,1,0,0,2520,2072,NA,NA,NA,NA,2520,2072
32702,1,1,0,1747,1409,1745,389,NA,NA,1746,899
32708,1,1,0,5204,4579,5992,1668,NA,NA,5598,3123.5
32710,0,0,1,NA,NA,NA,NA,27027,2066,27027,2066
32711,1,0,0,477,423,NA,NA,NA,NA,477,423
32717,1,0,0,2010,1855,NA,NA,NA,NA,2010,1855
32728,1,0,1,4961,4051,NA,NA,4623,605,4792,2328
32736,1,0,0,32860,27438,NA,NA,NA,NA,32860,27438
32741,0,1,1,NA,NA,3091,994,4344,452,3717.5,723
32742,1,0,0,3897,3084,NA,NA,NA,NA,3897,3084
32746,0,0,0,NA,NA,NA,NA,4980,405,4980,405
32747,1,0,0,817,677,NA,NA,NA,NA,817,677
32749,1,1,1,2735,2242,2790,607,2615,360,2713.33333333333,1069.66666666667
32770,1,0,0,567,533,NA,NA,NA,NA,567,533
32771,1,1,0,3455,2969,3546,1031,NA,NA,3500.5,2000
32773,0,0,1,NA,NA,NA,NA,5379,462,5379,462
32777,1,1,0,1801,1492,1948,686,NA,NA,1874.5,1089
32780,1,0,0,4320,3585,NA,NA,NA,NA,4320,3585
32784,1,0,0,2179,1819,NA,NA,NA,NA,2179,1819
32788,0,0,1,NA,NA,NA,NA,497,106,497,106
32790,1,1,1,5340,4301,5409,1036,5399,454,5382.66666666667,1930.33333333333
32795,1,0,0,1495,1230,NA,NA,NA,NA,1495,1230
32801,0,0,1,NA,NA,NA,NA,4003,748,4003,748
32808,1,0,1,47080,40616,NA,NA,51189,3303,49134.5,21959.5
32817,1,0,0,1481,1217,NA,NA,NA,NA,1481,1217
32828,1,0,0,2089,1776,NA,NA,NA,NA,2089,1776
32830,0,0,1,NA,NA,NA,NA,6012,385,6012,385
32834,1,0,1,28582,24118,NA,NA,30774,2635,29678,13376.5
32837,1,1,0,6504,5486,7380,1626,NA,NA,6942,3556
32839,0,0,1,NA,NA,NA,NA,44459,2020,44459,2020
32841,1,0,0,2018,1642,NA,NA,NA,NA,2018,1642
32847,1,1,0,1591,1301,1580,352,NA,NA,1585.5,826.5
32851,1,0,0,826,666,NA,NA,NA,NA,826,666
32859,0,0,1,NA,NA,NA,NA,22843,1856,22843,1856
32863,1,0,0,1231,992,NA,NA,NA,NA,1231,992
32865,0,0,1,NA,NA,NA,NA,7188,950,7188,950
32866,1,0,0,1524,1145,NA,NA,NA,NA,1524,1145
32868,1,0,0,16157,13104,NA,NA,NA,NA,16157,13104
32874,0,0,1,NA,NA,NA,NA,111863,4736,111863,4736
32882,1,0,0,3394,2815,NA,NA,NA,NA,3394,2815
32891,1,1,0,5002,4036,5002,875,NA,NA,5002,2455.5
32894,1,1,0,2856,2343,2875,610,NA,NA,2865.5,1476.5
32896,1,0,0,448,380,NA,NA,NA,NA,448,380
32898,1,0,0,1204,996,NA,NA,NA,NA,1204,996
32900,1,0,1,3267,3361,NA,NA,3838,643,3552.5,2002
32906,1,0,0,7825,6256,NA,NA,NA,NA,7825,6256
32917,1,0,0,2356,2201,NA,NA,NA,NA,2356,2201
32932,0,0,1,NA,NA,NA,NA,144,21,144,21
32935,1,1,0,4323,3556,4533,1001,NA,NA,4428,2278.5
32938,1,1,0,10887,8877,11505,2186,NA,NA,11196,5531.5
32942,0,1,1,NA,NA,6024,1147,5701,435,5862.5,791
32945,1,0,1,807,657,NA,NA,794,138,800.5,397.5
32947,1,0,1,690,591,NA,NA,1117,175,903.5,383
32948,0,0,0,NA,NA,NA,NA,4318,562,4318,562
32950,1,1,0,197,160,197,97,NA,NA,197,128.5
32951,1,0,1,6668,5534,NA,NA,8003,1011,7335.5,3272.5
32962,0,1,0,NA,NA,1735,327,NA,NA,1735,327
32970,1,0,0,36032,30785,NA,NA,NA,NA,36032,30785
32973,1,0,0,3811,3121,NA,NA,NA,NA,3811,3121
32980,0,0,1,NA,NA,NA,NA,2836,432,2836,432
32985,1,0,0,1295,1110,NA,NA,NA,NA,1295,1110
32987,0,0,1,NA,NA,NA,NA,10685,1239,10685,1239
32990,0,0,1,NA,NA,NA,NA,906,103,906,103
33000,0,1,0,NA,NA,17652,3596,NA,NA,17652,3596
33005,1,0,0,794,701,NA,NA,NA,NA,794,701
33006,0,0,0,NA,NA,NA,NA,830,186,830,186
33011,1,0,0,1352,1107,NA,NA,NA,NA,1352,1107
33017,0,0,0,NA,NA,NA,NA,6798,590,6798,590
33025,0,1,0,NA,NA,1993,401,NA,NA,1993,401
33027,1,0,0,1600,1333,NA,NA,NA,NA,1600,1333
33035,1,0,0,1039,1001,NA,NA,NA,NA,1039,1001
33045,1,1,0,4371,3519,4357,811,NA,NA,4364,2165
33050,0,1,1,NA,NA,3914,994,7217,617,5565.5,805.5
33063,0,1,0,NA,NA,45885,10513,NA,NA,45885,10513
33068,1,0,0,953,786,NA,NA,NA,NA,953,786
33070,1,0,0,1046,849,NA,NA,NA,NA,1046,849
33071,1,1,1,11580,9401,12868,2676,12358,854,12268.6666666667,4310.33333333333
33076,1,0,0,484,388,NA,NA,NA,NA,484,388
33081,1,0,0,1445,1442,NA,NA,NA,NA,1445,1442
33082,0,1,1,NA,NA,7056,1700,7400,866,7228,1283
33084,1,0,0,4042,3244,NA,NA,NA,NA,4042,3244
33096,1,0,0,861,761,NA,NA,NA,NA,861,761
33102,1,1,1,789,639,789,136,789,135,789,303.333333333333
33103,0,0,0,NA,NA,NA,NA,1982,273,1982,273
33108,1,0,0,1145,1089,NA,NA,NA,NA,1145,1089
33111,0,0,1,NA,NA,NA,NA,22241,1393,22241,1393
33112,1,0,0,618,600,NA,NA,NA,NA,618,600
33118,1,0,0,211,180,NA,NA,NA,NA,211,180
33126,1,0,0,3174,2609,NA,NA,NA,NA,3174,2609
33129,1,0,0,858,701,NA,NA,NA,NA,858,701
33131,0,0,1,NA,NA,NA,NA,4222,516,4222,516
33133,1,0,0,2346,1912,NA,NA,NA,NA,2346,1912
33135,1,1,1,12675,10209,12674,2451,16152,1815,13833.6666666667,4825
33140,1,0,1,15950,13707,NA,NA,18380,1521,17165,7614
33154,1,0,1,10190,8783,NA,NA,14445,1026,12317.5,4904.5
33160,1,0,1,19085,15392,NA,NA,20396,1599,19740.5,8495.5
42079,0,0,1,NA,NA,NA,NA,9264,741,9264,741
42082,1,0,0,337,276,NA,NA,NA,NA,337,276
42084,1,0,0,1276,1060,NA,NA,NA,NA,1276,1060
42091,1,0,0,7545,7020,NA,NA,NA,NA,7545,7020
42095,1,0,0,3919,3293,NA,NA,NA,NA,3919,3293
42100,1,0,0,1611,1562,NA,NA,NA,NA,1611,1562
42110,1,0,0,2771,2549,NA,NA,NA,NA,2771,2549
42114,1,0,1,3084,2500,NA,NA,2432,292,2758,1396
42115,0,0,1,NA,NA,NA,NA,35699,2114,35699,2114
42127,0,0,1,NA,NA,NA,NA,16165,1322,16165,1322
42128,1,0,0,390,426,NA,NA,NA,NA,390,426
42132,1,0,0,1076,979,NA,NA,NA,NA,1076,979
42133,1,0,0,250,197,NA,NA,NA,NA,250,197
42135,1,0,1,272,228,NA,NA,310,68,291,148
42136,1,0,0,490,380,NA,NA,NA,NA,490,380
42137,0,1,1,NA,NA,110979,22058,110204,5251,110591.5,13654.5
42143,0,0,1,NA,NA,NA,NA,6462,421,6462,421
42147,1,1,1,3972,3356,4498,881,4363,656,4277.66666666667,1631
42150,0,0,1,NA,NA,NA,NA,57614,3666,57614,3666
42152,0,1,0,NA,NA,6816,1642,NA,NA,6816,1642
42153,1,0,0,14,11,NA,NA,NA,NA,14,11
42156,1,1,0,1382,1121,1382,271,NA,NA,1382,696
42157,0,0,1,NA,NA,NA,NA,39472,1940,39472,1940
42159,1,0,0,3461,3225,NA,NA,NA,NA,3461,3225
42162,1,0,0,1323,1066,NA,NA,NA,NA,1323,1066
42167,1,0,1,24639,22007,NA,NA,32481,2075,28560,12041
42169,1,0,0,241,192,NA,NA,NA,NA,241,192
42172,1,0,0,6152,5082,NA,NA,NA,NA,6152,5082
42173,1,0,0,3839,3139,NA,NA,NA,NA,3839,3139
42175,1,0,0,1405,1137,NA,NA,NA,NA,1405,1137
42179,1,1,0,304701,247162,329000,61092,NA,NA,316850.5,154127
42181,1,0,0,1034,875,NA,NA,NA,NA,1034,875
42186,0,0,0,NA,NA,NA,NA,15129,1107,15129,1107
42190,0,0,1,NA,NA,NA,NA,10,2,10,2
42195,0,0,1,NA,NA,NA,NA,2038,310,2038,310
42196,0,0,1,NA,NA,NA,NA,32839,2139,32839,2139
42199,1,0,1,6210,5333,NA,NA,11774,1629,8992,3481
42200,0,0,1,NA,NA,NA,NA,2968,222,2968,222
42203,0,1,0,NA,NA,6400,1162,NA,NA,6400,1162
42204,1,0,0,1771,1726,NA,NA,NA,NA,1771,1726
42209,0,0,1,NA,NA,NA,NA,77449,4079,77449,4079
42211,1,0,0,883,693,NA,NA,NA,NA,883,693
42213,1,1,1,176904,144045,197016,36286,210884,8494,194934.666666667,62941.6666666667
42216,0,1,0,NA,NA,4843,946,NA,NA,4843,946
42219,1,1,1,2300,2046,2360,727,2585,454,2415,1075.66666666667
42221,1,0,0,1209,974,NA,NA,NA,NA,1209,974
42223,1,1,0,1135,928,1135,203,NA,NA,1135,565.5
42228,1,0,0,1933,2068,NA,NA,NA,NA,1933,2068
42230,0,0,1,NA,NA,NA,NA,572,104,572,104
42232,0,0,1,NA,NA,NA,NA,94007,5252,94007,5252
42233,0,1,1,NA,NA,11225,2402,14017,1243,12621,1822.5
42240,0,1,1,NA,NA,2267,441,1904,238,2085.5,339.5
42243,0,0,0,NA,NA,NA,NA,20972,1297,20972,1297
42247,1,0,0,1386,1111,NA,NA,NA,NA,1386,1111
42248,1,0,0,3440,2783,NA,NA,NA,NA,3440,2783
42256,0,0,1,NA,NA,NA,NA,4792,633,4792,633
42260,0,1,0,NA,NA,2908,516,NA,NA,2908,516
42261,1,0,0,2106,1704,NA,NA,NA,NA,2106,1704
42262,0,0,1,NA,NA,NA,NA,43725,3270,43725,3270
42264,0,0,1,NA,NA,NA,NA,10099,810,10099,810
42266,0,1,0,NA,NA,4500,901,NA,NA,4500,901
42269,1,1,0,2110,1734,2222,463,NA,NA,2166,1098.5
42270,1,0,0,396,316,NA,NA,NA,NA,396,316
42272,1,1,1,3308,2700,2940,618,8962,836,5070,1384.66666666667
42276,1,1,0,1214,990,1215,214,NA,NA,1214.5,602
42279,0,1,1,NA,NA,9573,1842,11936,656,10754.5,1249
42286,0,1,0,NA,NA,5747,1295,NA,NA,5747,1295
42289,1,0,0,2131,1661,NA,NA,NA,NA,2131,1661
42290,1,0,0,755,623,NA,NA,NA,NA,755,623
42295,0,0,0,NA,NA,NA,NA,2509,387,2509,387
42296,0,0,1,NA,NA,NA,NA,30947,2099,30947,2099
42300,0,0,1,NA,NA,NA,NA,12933,1116,12933,1116
42308,1,1,1,3685,3010,4260,835,4365,460,4103.33333333333,1435
42310,0,0,1,NA,NA,NA,NA,1425,257,1425,257
42312,1,1,1,8734,7133,9191,1757,11459,902,9794.66666666667,3264
