"RID","on_foot","bike","car","distance_walk","time_walk","distance_bike","time_bike","distance_car","time_car","mean_dist","mean_time"
12424,1,0,0,230,199,NA,NA,NA,NA,230,199
12426,1,1,0,2139,1708,2246,462,NA,NA,2192.5,1085
12431,1,0,0,675,545,NA,NA,NA,NA,675,545
12436,1,0,0,1989,1693,NA,NA,NA,NA,1989,1693
12437,1,0,1,9921,8008,NA,NA,11756,1158,10838.5,4583
12445,0,1,0,NA,NA,5574,1194,NA,NA,5574,1194
12459,1,0,0,714,599,NA,NA,NA,NA,714,599
12465,1,0,1,55491,45645,NA,NA,75843,3340,65667,24492.5
12470,1,1,0,2847,2308,2882,585,NA,NA,2864.5,1446.5
12471,1,1,1,17619,14602,17992,4049,28584,1814,21398.3333333333,6821.66666666667
12473,1,0,0,2551,2113,NA,NA,NA,NA,2551,2113
12478,0,0,1,NA,NA,NA,NA,21821,1714,21821,1714
12484,1,0,1,6570,5504,NA,NA,6992,854,6781,3179
12489,0,0,1,NA,NA,NA,NA,28891,2473,28891,2473
12490,0,0,1,NA,NA,NA,NA,38231,2148,38231,2148
12492,1,0,0,2437,2012,NA,NA,NA,NA,2437,2012
12493,1,0,1,2877,2419,NA,NA,3733,450,3305,1434.5
12494,0,0,1,NA,NA,NA,NA,16259,1205,16259,1205
12499,1,0,0,1073,1347,NA,NA,NA,NA,1073,1347
12502,0,1,0,NA,NA,5037,1696,NA,NA,5037,1696
12503,0,1,0,NA,NA,3348,1007,NA,NA,3348,1007
12507,1,0,0,894,714,NA,NA,NA,NA,894,714
12510,1,0,0,640,560,NA,NA,NA,NA,640,560
12512,0,1,0,NA,NA,706,173,NA,NA,706,173
12514,1,0,0,1180,961,NA,NA,NA,NA,1180,961
12515,1,1,1,15331,14285,17652,5123,19467,1412,17483.3333333333,6940
12517,0,1,0,NA,NA,6498,1141,NA,NA,6498,1141
12518,0,0,1,NA,NA,NA,NA,20160,1984,20160,1984
12528,0,0,1,NA,NA,NA,NA,6567,617,6567,617
12530,0,0,0,NA,NA,NA,NA,3714,862,3714,862
12531,1,0,0,33662,27253,NA,NA,NA,NA,33662,27253
12538,0,0,1,NA,NA,NA,NA,6790,717,6790,717
12540,1,0,1,18751,15331,NA,NA,20593,1614,19672,8472.5
12541,0,0,1,NA,NA,NA,NA,6013,727,6013,727
12548,1,0,1,2818,2296,NA,NA,10476,1224,6647,1760
12555,1,0,0,578,492,NA,NA,NA,NA,578,492
12559,1,0,0,3740,3041,NA,NA,NA,NA,3740,3041
12560,1,0,0,1796,1550,NA,NA,NA,NA,1796,1550
12563,0,0,1,NA,NA,NA,NA,16893,1642,16893,1642
12566,1,0,0,535,459,NA,NA,NA,NA,535,459
12567,1,1,0,3121,2962,4187,1057,NA,NA,3654,2009.5
12571,1,0,0,3302,2670,NA,NA,NA,NA,3302,2670
12574,0,0,1,NA,NA,NA,NA,53645,2812,53645,2812
12577,1,0,1,5063,5169,NA,NA,8160,894,6611.5,3031.5
12578,0,0,0,NA,NA,NA,NA,649909,24207,649909,24207
12580,1,0,1,3194,2777,NA,NA,6503,754,4848.5,1765.5
12590,1,0,0,2181,1772,NA,NA,NA,NA,2181,1772
12598,1,0,0,830,667,NA,NA,NA,NA,830,667
12613,0,0,1,NA,NA,NA,NA,4172,475,4172,475
12614,1,0,0,933,1004,NA,NA,NA,NA,933,1004
12619,1,1,0,832,688,852,163,NA,NA,842,425.5
12620,0,0,1,NA,NA,NA,NA,16888,1543,16888,1543
12623,1,0,0,153525,124156,NA,NA,NA,NA,153525,124156
12624,0,0,1,NA,NA,NA,NA,10789,741,10789,741
12626,0,1,0,NA,NA,1395,355,NA,NA,1395,355
12630,1,0,0,412,348,NA,NA,NA,NA,412,348
12634,0,0,1,NA,NA,NA,NA,5888,564,5888,564
