"RID","start","end"
22917,"50.5697734971868, 8.28849792480469","50.5913460131071, 8.29055786132813"
22936,"48.8163875301225, 9.84958648681641","48.817535524563, 9.84306335449219"
22942,"53.5489264431991, 10.0044250488281","53.6017260031393, 10.0865650177002"
22951,"48.5636414406869, 10.8609294891357","48.564077902502, 10.8689979091287"
22952,"52.4842531743506, 13.4658050537109","52.4852932359752, 13.4737014770508"
22958,"53.3958179784772, 10.0420188903809","53.4539180954431, 10.0512886047363"
22969,"48.5780570754563, 9.67947006225586","48.5813997402093, 9.68050003051758"
22978,"48.989676403435, 8.33742141723633","53.5072429248058, 12.6068115234375"
22986,"51.4830131737969, 11.9234490394592","51.4888389358188, 11.9263243675232"
23006,"48.858974940314, 8.69483582675457","48.8686593562936, 8.70790958404541"
23011,"48.140002990168, 11.5704556701712","48.1402629428851, 11.5708399891082"
23012,"50.0024377646956, 8.20683213325083","50.0060812997432, 8.20136977845323"
23031,"54.7743755421376, 8.98152923531597","54.8067500206511, 8.97466278023785"
23032,"53.5513231456644, 10.1226997375488","53.5772192685119, 10.1374626159668"
23040,"48.9938475524225, 8.39350640773773","48.9885534775087, 8.42229723930359"
23047,"52.2068900298257, 8.03732871921966","52.1974199958816, 8.03465366363526"
23055,"50.8746515711734, 8.03060147183715","50.8772584430466, 8.03746795834741"
23061,"48.6726204519234, 11.4683532714844","48.6767068554532, 11.4904975891113"
23065,"48.6558339974839, 10.8057403564453","48.6296300172814, 10.8114910125732"
23068,"50.3913436322411, 7.6453072624281","49.9822237504386, 7.53107888507657"
23073,"51.6758859543529, 10.8676757477224","50.8007425550038, 12.9049248669435"
23074,"49.9641403403336, 7.88161754608154","49.9684255227717, 7.90414810180664"
23085,"50.0225054612001, 8.72039794921875","50.0278248250758, 8.7766170501709"
23092,"50.7399657422959, 7.09416389465332","50.7466872362417, 7.11390495300293"
23096,"51.6278479291957, 10.1572036743164","51.6357221958013, 10.1649928092957"
23103,"52.2986379544856, 13.2536315917969","52.285986202008, 13.2975769042969"
23124,"51.6357644384906, 7.53250837282394","51.6395632063695, 7.53448963077972"
23131,"50.7915112760076, 6.11904144287109","50.7859766972523, 6.07921600341797"
23135,"50.9707115160847, 13.8718155123161","50.973773722488, 13.8811050742652"
23142,"51.1375647622038, 6.29483342170715","51.1410984206449, 6.27428770065308"
23143,"49.3047550676721, 10.5752334589488","49.3592046856288, 10.5093154901988"
23153,"51.9921073486171, 9.12036895751953","51.9839612389954, 9.09552097320557"
23159,"52.5511554091165, 13.1531737750629","52.5461509366747, 13.1529951095581"
23164,"48.1169922644605, 11.593279838562","48.2773621594964, 11.9042853266001"
23168,"51.1555689145236, 11.8056571483612","51.1338116105498, 11.7145156860352"
23171,"48.8684341099573, 12.5639820098877","48.8573787665483, 12.5613300038822"
23200,"50.4251436281596, 12.9673004150391","50.4403426489194, 12.975754737854"
23211,"51.3352431817605, 12.6079273223877","51.3339427846656, 12.628333568573"
23263,"51.7460569629452, 11.4436340332031","51.7544526026199, 11.4595913852099"
23271,"50.8547555813333, 12.9538327096088","50.8477839156849, 12.9666832502699"
23291,"48.1481624120917, 7.6969455066137","48.1139133309693, 7.70000566667142"
23293,"54.2998605254844, 10.1804530620575","54.3020642467025, 10.1744019985199"
32082,"51.3254466303737, 12.4150850771548","51.3252756676876, 12.4193551539065"
32084,"48.431386061733, 11.5976428968133","48.422012163761, 11.5995311719598"
32091,"48.7725118056078, 9.16091322898865","48.7795079175493, 9.07882690429688"
32095,"52.177116122246, 10.1726531982422","52.1714478107622, 10.2155685424805"
32100,"51.0329945538941, 13.7283039075555","51.0226175195471, 13.7236690503778"
32110,"51.798699623242, 10.457181930542","51.7878098416974, 10.4610013961792"
